511210206001241	A
511210206001242	A
511210206001244	C
511210206001250	A
511210206001246	A
511210206001253	B
511210206001251	C
511210206001256	C
511210206001252	B
511210206001255	C
511210206001258	A
511210206001260	C
511210206001257	C
511210206001262	A
511210206001263	B
511210206001264	C
511210206001261	A
511210206001266	A
511210206001267	A
511210206001268	A
511210206001265	A
511210206001270	A
511210206001271	A
511210206001273	B
51121020600486	C
51121020600487	B
51121020600488	C
51121020600489	A
51121020600490	C
51121020600491	C
51121020600507	C
51121020600508	C
51121020600509	A
51121020600510	A
51121020600511	A
51121020600512	B
51121020600513	A
51121020600514	A
51121020600515	C
51121020600516	B
51121020600517	C
51121020600518	B
51121020600519	C
51121020600520	B
51121020600521	A
51121020600522	B
51121020600523	A
51121020600524	A
51121020600525	A
51121020600526	C
51121020600527	C
51121020600528	B
51121020600529	C
51121020600530	A
51121020600531	C
51121020600532	A
51121020600533	A
51121020600534	C
51121020600535	A
51121020600537	B
51121020600536	A
51121020600539	B
51121020600540	C
51121020600538	B
51121020600542	B
51121020600541	C
51121020600544	C
51121020600543	C
51121020600545	B
51121020600547	C
51121020600546	A
51121020600548	B
51121020600549	C
51121020600550	B
51121020600552	B
51121020600553	B
51121020600554	B
51121020600555	B
51121020600556	A
51121020600557	C
51121020600558	C
51121020600559	C
51121020600560	B
51121020600561	A
51121020600562	A
51121020600563	C
51121020600564	C
51121020600565	A
51121020600566	C
51121020600567	B
51121020600568	B
51121020600569	C
51121020600570	B
51121020600571	C
51121020600572	B
51121020600573	C
51121020600574	B
51121020600575	C
51121020600576	C
51121020600577	C
51121020600578	B
51121020600579	C
51121020600580	A
51121020600581	C
51121020600582	B
51121020600583	B
51121020600584	B
51121020600585	B
51121020600586	A
51121020600587	B
51121020600588	B
51121020600589	B
51121020600590	C
51121020600591	B
51121020600592	B
51121020600593	C
51121020600594	C
51121020600595	C
51121020600596	B
51121020600597	A
51121020600598	C
51121020600599	C
51121020600600	C
51121020600601	C
51121020600602	B
51121020600603	B
51121020600604	A
51121020600605	B
51121020600606	A
51121020600607	C
51121020600608	C
51121020600609	C
51121020600610	B
51121020600611	A
51121020600612	C
51121020600613	B
51121020600614	C
51121020600615	A
51121020600616	B
51121020600617	B
51121020600618	B
51121020600619	A
51121020600620	B
51121020600621	B
51121020600623	A
51121020600624	C
51121020600625	C
51121020600622	C
51121020600627	B
51121020600628	B
51121020600626	B
51121020600631	C
51121020600632	B
51121020600629	A
51121020600635	C
51121020600636	B
51121020600634	A
51121020600638	C
51121020600639	C
51121020600637	B
51121020600640	B
51121020600642	B
51121020600643	B
51121020600644	C
51121020600645	B
51121020600646	B
51121020600647	B
51121020600648	B
51121020600649	B
51121020600650	B
51121020600651	C
51121020600652	B
51121020600653	A
51121020600654	C
51121020600655	B
51121020600656	B
51121020600657	C
51121020600658	B
51121020600659	C
51121020600660	B
51121020600661	C
51121020600662	C
51121020600663	C
51121020600664	B
51121020600665	B
51121020600666	C
51121020600667	B
51121020600668	C
51121020600797	C
51121020600798	C
51121020500327	C
51121020500328	C
51121020500329	A
51121020500330	C
51121020600799	A
