108970	7102	1945
109418	317	5
109426	6446	621
109430	6179	1166
109487	6136	1170
113073	1977	53
113074	5978	647
113075	586	10
113076	439	10
113078	919	16
113080	2918	84
113081	12014	7638
113087	832	18
113088	4348	210
113089	1889	42
113090	657	5
113091	234	4
113092	746	7
113093	1193	30
113094	1936	35
113095	1908	23
113962	7578	1163
113963	11998	6270
113964	1329	31
113965	1090	17
113966	1201	24
113968	1684	37
113969	8408	1663
113971	12693	6329
113972	5251	1128
114100	7626	1218
114101	8690	2045
114102	1436	49
114171	483	6
114172	2946	89
114175	7901	1557
114181	1792	22
114182	3434	385
114183	4677	1067
114184	2595	72
114441	2228	142
114444	5439	1796
114445	8558	5129
114446	3467	673
114447	1665	103
114448	4845	895
114449	3898	425
114450	1150	27
114453	1916	79
114454	7213	1155
114455	6182	895
114456	1050	53
114457	5014	1081
114458	1452	38
114459	3683	433
114460	4865	1040
114489	4283	222
114490	2036	129
114491	3023	63
114493	2461	70
114494	3711	285
114496	1831	31
114497	1025	25
114498	1156	8
114499	2266	51
114500	3514	137
114501	3782	274
114502	798	25
114503	1507	27
114505	1616	29
114506	2838	84
114507	5746	303
114509	4709	877
114511	3536	181
114512	2621	61
114513	1295	16
114514	3834	277
114515	2459	102
114516	4953	584
114517	1470	34
114518	1610	28
114519	224	1
114520	12688	13215
114521	1309	33
114522	472	15
114523	5076	589
114524	5347	585
114527	4597	430
114528	620	8
114529	4456	569
114530	16904	53492
114531	23942	125038
114532	1618	49
114623	3675	599
114625	2254	94
114626	3778	364
114627	3670	294
114628	1092	32
114629	2185	57
114630	997	22
114631	4806	582
114839	2875	311
114841	5408	2067
114843	5043	2697
114844	8322	2546
114845	10672	11182
114847	2355	81
114850	11877	17817
115101	11112	24373
115102	10963	24694
115104	1650	251
115105	15439	47321
115107	2218	256
115109	2988	952
115110	8711	5553
115111	11	0
115112	3829	1310
115113	17111	37190
115496	5533	5264
115497	5938	5281
115499	13751	21570
115500	5766	1140
115502	4513	2052
115503	14380	59992
115504	1907	95
115505	850	55
115506	8393	27994
115508	3631	1662
115509	9594	21329
115510	11607	18464
115515	10972	9639
115516	13766	21541
115517	10900	15635
115808	606	22
115809	12111	24681
115879	205	8
115880	7925	3665
115881	608	25
115893	3312	134
115898	4927	404
116246	13109	32227
116250	3673	254
116252	5065	579
116254	3775	213
116255	1178	26
116256	2657	350
116426	4792	437
116427	1517	36
116429	305	10
116430	2267	110
116432	1399	24
116437	5658	622
116439	5798	592
116456	323	5
116457	3897	141
116458	3368	289
116459	4077	311
116460	3120	83
116461	9441	11178
116462	4398	594
116463	4461	603
116464	2934	135
116465	3239	151
116466	3179	405
116467	6658	431
116468	4528	796
116469	7159	6320
116473	947	17
116474	8937	4037
116475	3268	205
116476	4135	585
116477	1784	42
116479	4039	301
116480	3836	791
116481	2021	70
116482	548	15
116483	1314	34
116484	3258	288
116485	5037	649
116486	3724	316
116487	3313	270
116489	4938	587
116490	1525	39
116491	11549	7572
116492	1904	46
116493	2214	53
116494	1387	23
116495	7562	2012
116496	3404	124
116497	10289	6342
116654	11359	12850
116656	4546	1766
116659	2135	74
116662	2252	195
116739	4797	4231
116742	2672	878
116743	6107	9293
116744	20809	150540
116746	16801	60479
116747	11231	74809
116752	15599	53704
116753	17103	102982
116754	2168	90
116755	2431	134
116769	655	15
116773	8565	13195
116776	995	56
116835	7928	7696
116837	7231	7749
116838	13500	41942
116839	7781	6360
116972	1786	166
116974	1461	100
116975	1042	57
116991	1338	80
116992	5679	2507
116997	4704	935
116998	1966	182
117000	672	19
117001	1392	154
117007	10662	15254
117008	423	9
117009	1363	118
117010	2153	408
117012	129	4
117014	1286	131
117015	16099	21053
117016	3156	210
117017	2792	268
117018	12331	59444
117019	477	15
117020	5374	2020
117021	7043	11248
117022	2291	80
117023	868	45
117024	623	8
117025	6663	673
117028	1405	23
117029	1478	41
117030	1401	27
117031	3507	109
117032	1652	47
117033	4037	286
117034	3418	185
117035	707	20
117036	1220	32
117037	1210	20
117039	2627	92
117040	229	10
117041	2609	122
117042	2576	85
117043	4522	428
117045	142	3
117047	5137	324
117048	6431	762
117049	1884	51
117050	5953	869
117051	4742	895
117052	2421	100
117053	2733	94
117054	8474	2120
117055	7606	1534
117056	3266	86
117058	7767	669
117059	5297	325
117061	8651	873
117062	573	14
117063	3647	139
117064	3167	109
117065	5559	507
117066	14749	6473
117068	2654	77
121134	343	9
