108970	7102	13078
109418	317	547
109426	6446	11894
109430	6179	12308
109487	6136	11621
113073	1977	3911
113074	5978	11515
113075	586	1111
113076	439	800
113078	919	1647
113080	2918	5668
113081	12014	24092
113087	832	1611
113088	4348	8237
113089	1889	3613
113090	657	1128
113091	234	412
113092	746	1255
113093	1193	2217
113094	1936	3660
113095	1908	3473
113962	7578	13788
113963	11998	22935
113964	1329	2550
113965	1090	1963
113966	1201	2281
113968	1684	3233
113969	8408	16857
113971	12693	24829
113972	5251	10092
114100	7626	14885
114101	8690	16786
114102	1436	2715
114171	483	901
114172	2946	5426
114175	7901	15202
114181	1792	3334
114182	3434	6561
114183	4677	8892
114184	2595	4704
114441	2228	4436
114444	5439	11666
114445	8558	17320
114446	3467	7470
114447	1665	3317
114448	4845	9829
114449	3898	8045
114450	1150	2151
114453	1916	3822
114454	7213	13853
114455	6182	11946
114456	1050	2111
114457	5014	10549
114458	1452	2720
114459	3683	7710
114460	4865	10340
114489	4283	7797
114490	2036	4177
114491	3023	5270
114493	2461	4562
114494	3711	7065
114496	1831	3217
114497	1025	1941
114498	1156	1990
114499	2266	4104
114500	3514	6317
114501	3782	6879
114502	798	1434
114503	1507	2614
114505	1616	3050
114506	2838	5203
114507	5746	10312
114509	4709	9095
114511	3536	6167
114512	2621	4425
114513	1295	2218
114514	3834	6409
114515	2459	4606
114516	4953	8795
114517	1470	2708
114518	1610	2786
114519	224	384
114520	12688	25712
114521	1309	2459
114522	472	863
114523	5076	9279
114524	5347	9191
114527	4597	8267
114528	620	1116
114529	4456	8609
114530	16904	36436
114531	23942	52187
114532	1618	3073
114623	3675	7752
114625	2254	4449
114626	3778	7681
114627	3670	6891
114628	1092	2070
114629	2185	4010
114630	997	1824
114631	4806	8814
114839	2875	5649
114841	5408	10400
114843	5043	10585
114844	8322	15113
114845	10672	21815
114847	2355	4124
114850	11877	24306
115101	11112	23770
115102	10963	24393
115104	1650	3598
115105	15439	33117
115107	2218	4502
115109	2988	6464
115110	8711	18663
115111	11	8
115112	3829	8473
115113	17111	36643
115496	5533	12139
115497	5938	13120
115499	13751	29213
115500	5766	10756
115502	4513	9285
115503	14380	31169
115504	1907	3489
115505	850	1656
115506	8393	18986
115508	3631	7883
115509	9594	20841
115510	11607	24610
115515	10972	23011
115516	13766	28380
115517	10900	22524
115808	606	1169
115809	12111	25877
115879	205	390
115880	7925	16759
115881	608	1178
115893	3312	5986
115898	4927	8851
116246	13109	28083
116250	3673	6329
116252	5065	8491
116254	3775	7164
116255	1178	1981
116256	2657	5318
116426	4792	9005
116427	1517	2937
116429	305	565
116430	2267	4256
116432	1399	2449
116437	5658	10686
116439	5798	10449
116456	323	546
