hid,longitude,latitude,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24
511030301001456,-76.49898,37.705364,8156.25,8156.25,8156.25,8156.25,8156.25,5437.5,5437.5,5437.5,5437.5,8406.24,8156.32,8156.25,8156.25,8156.25,8156.25,8156.25,8156.25,8156.25,8406.24,8593.74,8406.31,8281.32,8197.99,8156.25
511030301001457,-76.49863,37.706759999999996,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,7220.88,6521.22,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6275.83,6813.15,6457.5,7508.03,6236.73,6028.4,6007.5
511030301001458,-76.54056,37.707046999999996,3114.75,3114.75,3114.75,3114.75,3114.75,2076.5,2076.5,2076.5,2076.5,3518.38,3114.75,3114.75,3114.75,3114.75,3114.75,3239.75,3239.82,3114.75,3114.75,3689.75,3115.39,4464.75,3565.25,3114.75
511030301001459,-76.53296,37.706745,3114.75,3114.75,3114.75,3114.75,3114.75,2076.5,2076.5,2543.16,2310.22,3114.75,3114.75,3114.75,3114.75,3114.75,3114.75,3114.75,3114.75,3114.75,3364.74,3114.82,3114.75,3198.08,3364.88,3114.75
511030301001460,-76.49299,37.706990000000005,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6154.47,6907.5,6908.0,6007.5,6007.5,6007.5,6132.5,6132.57,6007.5,6007.5,6582.5,6008.14,6007.5,6007.5,6007.5
511030301001461,-76.51446999999999,37.7073,3114.75,3114.75,3114.75,2076.5,2076.5,2076.5,2076.5,3114.75,3177.28,3114.75,3114.75,3114.75,3114.75,3114.75,3865.17,3114.75,3114.75,3114.75,4923.77,3281.48,3114.75,3114.75,3114.75,3114.75
511030301001462,-76.50799,37.70681,2076.5,2076.5,2076.5,2076.5,2076.5,2305.7,2076.57,2076.5,3114.75,3114.75,3114.75,3114.75,3114.75,3114.75,3114.75,3114.75,3177.32,4247.0599999999995,4139.82,4015.25,3177.25,3364.74,3364.74,3114.75
511030301001463,-76.52257,37.70811,8156.25,8156.25,8156.25,5437.5,5437.5,5437.5,5437.5,5437.5,5437.5,8156.25,8156.25,8156.25,8156.25,8156.25,8156.25,8156.25,8156.25,8923.56,9866.25,9946.77,15205.98,9768.15,8156.32,8156.25
511030301001464,-76.52391,37.709785,6007.5,6007.5,6007.5,4005.0,4005.0,4005.0,4096.97,6132.57,6007.5,6007.5,6007.5,6007.5,6007.5,6532.08,6233.33,6007.5,6007.5,7375.5,6552.64,6257.49,6257.49,6153.26,6007.5,6007.5
511030301001465,-76.514656,37.707157,923.0,923.0,923.0,923.0,923.0,3.99,1344.1399999999999,1221.4,1716.74,923.0,923.0,923.0,1759.5,1384.92,1384.5,8184.24,4446.42,2164.5,2405.0,1384.5,1538.66,1018.9,954.28,923.0
511030301001466,-76.520996,37.708355,6007.5,6007.5,6007.5,4005.0,4005.0,4005.0,4005.0,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6153.33,6195.07,6007.5,6007.5
511030301001445,-76.52871,37.707745,3114.75,3114.75,3114.75,2076.5,2076.5,2076.5,2076.5,3114.75,3114.75,3114.75,3114.75,3114.75,3114.75,3114.75,3114.75,3114.75,3114.75,11131.189999999999,7077.13,4015.25,3114.75,3114.75,3114.75,3114.75
511030301001446,-76.49683,37.70771,2076.5,2076.5,2076.5,2076.5,2076.5,2076.5,2168.47,2076.5,3114.75,3114.75,3114.75,3114.75,3114.75,3114.75,3114.75,3114.75,3114.75,7294.79,10737.73,3595.38,3298.22,3356.48,3208.53,3114.75
