TID,source,target,longitude,latitude
0,24867173,24867171,-80.41411795678675,37.2473763809633
1,171518823,275973102,-80.38504486397865,37.147031241653956
2,171513638,915040275,-80.50246664095415,37.14810087111396
3,216616823,275987807,-80.23696021273832,37.18227978791113
4,171517744,171517658,-80.4166307779608,37.11999521095024
5,918466695,917379423,-80.489326062984,37.00445188454076
6,922329136,922329137,-80.4203274358204,37.19958940279618
7,171535250,171535266,-80.28576102787845,37.26008408757317
8,171525503,918459968,-80.33217439348995,37.1098182290648
9,915040813,171516178,-80.49191029725323,37.23716375273083
10,171510169,848895324,-80.57914,37.18969
11,171526568,171526566,-80.37315920455141,37.207338724707085
12,24864196,915011966,-80.50868988544842,37.08779574558562
13,335459252,171512888,-80.42189541034423,37.088678420578326
14,215641769,215641768,-80.4217634207898,37.16009428597457
15,215649337,24880597,-80.3751394321324,37.24395003733079
16,338858845,24866859,-80.4396497990845,37.2300496383521
17,918464442,918464443,-80.37009,37.034009999999995
18,171531598,171531599,-80.2016255789595,37.232503227384264
19,914975965,914975966,-80.23294455769957,37.13141317758343
20,171534835,171534665,-80.35119,37.27929
21,275984008,171514676,-80.54585,37.17468
22,918466675,915014801,-80.45711999999999,37.03652
23,243541009,171522646,-80.44758654836542,37.276211639387455
24,171521256,171521255,-80.40940461168155,37.22462804982972
25,171525814,171525833,-80.34172162668042,37.14123411972649
26,24880366,171526414,-80.30634312642916,37.164141720562185
27,915043019,915043020,-80.38954057868332,37.279975686094
28,335463286,916274457,-80.53481281256902,37.226043116747384
29,338858914,338858916,-80.45568105374869,37.2177047430653
30,171516511,915013447,-80.46441391322722,37.11228038196443
31,335465126,335465155,-80.4179149267819,37.17972601110417
32,914997468,918461177,-80.54073000000001,37.01574
33,1135213086,1135213088,-80.31973365780775,37.36004764814931
34,916249451,919930584,-80.2655726394855,37.11656792292603
35,976097049,976097048,-80.37460071790646,37.1156194909731
36,24867084,948251687,-80.39888264285746,37.20605364287074
37,171518330,171518341,-80.4077790177829,37.14281830847398
38,171517353,243541574,-80.44157265377721,37.170421821733335
39,216616422,24864550,-80.42948109664576,37.02603417169965
40,275500967,171522995,-80.42282759797311,37.269878335341254
41,919490829,914988693,-80.35186,37.0569
42,916270536,916270539,-80.4504,37.12836
43,338858530,338858800,-80.42861656680186,37.24650956532973
44,171515672,916251946,-80.49041772646261,37.19020847396562
45,275214060,957598844,-80.26207898867662,37.30772084302598
46,243540553,243540560,-80.3293986832356,37.194978351834216
47,171530355,979692038,-80.23269607136784,37.21644750012504
48,914991462,914991464,-80.30965,37.13335
49,914994414,914994416,-80.54700592958037,37.09507364556736
50,171526422,171526453,-80.3810681717658,37.18758613238345
51,338857790,918466671,-80.29182169470263,37.094252698627315
52,24864640,171512190,-80.46007404859121,37.06522450933706
53,171522269,171522176,-80.3966658153912,37.231224472426746
54,24864215,918466669,-80.50590781427374,37.064563430188045
55,24884727,335458496,-80.35258468914131,37.2599951991066
56,215646663,338844096,-80.28521269264559,37.214449882362395
57,915024489,171528196,-80.26231029501363,37.16176319282556
58,171524941,917756031,-80.35607814578393,37.125390715935936
59,171519590,171519577,-80.4599001219368,37.245958105703004
61,171520677,215650738,-80.39330319846967,37.18499378428035
62,171513049,918466682,-80.39343596245128,37.08080576197337
63,171517235,171517234,-80.43600662870693,37.14788212457805
64,171509952,915028073,-80.60407227007033,37.215984668759596
65,24866551,171518602,-80.3974799502438,37.1304057190244
66,171510444,171510434,-80.58165794789775,37.22537531396946
67,171513953,171513963,-80.49231746341314,37.12371481219257
68,171519039,171519044,-80.45458247119123,37.20866800793919
69,171519723,171519697,-80.44577996709275,37.216066643357365
70,171535694,918508170,-80.297871294073,37.311599261034665
71,916274468,916274469,-80.39474850023443,37.25503076109839
72,851480000,24865973,-80.52089814327803,37.18867796433824
73,171525117,171525159,-80.37119415211141,37.139548918306375
74,915020791,915020792,-80.40117024750039,37.298374653473545
75,171517641,171517643,-80.42599501733747,37.12798256068114
76,215647962,24880591,-80.3651825623491,37.228392189351844
77,24879757,918458220,-80.32928431831907,37.05701474388327
78,24866211,171517071,-80.45324635349537,37.16340987733502
79,851850712,915032623,-80.25562,37.262859999999996
80,915039335,275507977,-80.31497110931775,37.23442710355583
81,915003620,915003621,-80.50964,37.033409999999996
82,171531128,243540730,-80.2051,37.191720000000004
83,915028132,915028133,-80.50915693293895,37.22789362783312
84,915032576,171534450,-80.37642212008204,37.26152661773578
85,171521979,171521977,-80.39149156710263,37.217108574131316
86,276016184,215646789,-80.35997424660546,37.19019436752042
87,914988638,917756027,-80.5430899922431,37.047898218754035
88,171525944,915021383,-80.34653023183301,37.17321482951577
89,918459961,914965170,-80.44063704447493,37.109557138335795
90,171517913,171517898,-80.39924158742677,37.11424262397708
91,915004040,915004041,-80.41109030134717,37.06739797700456
92,916276350,979562782,-80.56793984079631,37.24804615831015
93,915024593,915024594,-80.52507276746081,37.16272083446695
94,335454386,1025062732,-80.42404158824891,37.25555052145885
95,171521636,171521633,-80.41346612385412,37.23833409539725
96,915044033,915044034,-80.29376535890535,37.148604932511205
97,171525910,171525930,-80.32401130128366,37.1464734787686
98,24881607,215646038,-80.22053000000001,37.23845
99,914998277,914998322,-80.42675,37.06364
100,171530589,171530607,-80.20844053618548,37.11328169207921
101,171523296,171523282,-80.40280899053403,37.26619386667994
102,275989505,335459828,-80.39925492183806,37.036235969408466
103,171513366,918466668,-80.52495241752015,37.112524229490816
104,1045480265,1045480266,-80.40550559875477,37.19911306376113
105,171518130,243541628,-80.42404073162392,37.140132285906894
106,171517878,918466694,-80.38678149759342,37.098452214072914
107,171514573,1062907148,-80.47661105443368,37.155533548226806
108,171529342,171529164,-80.27100479271219,37.177821011091446
109,171518850,171518866,-80.39860999999999,37.154070000000004
110,243541175,171515876,-80.48073984698614,37.202264301269174
111,171522675,338858754,-80.44148657144142,37.25627851502117
112,171525315,880277678,-80.3527320024126,37.13655602131125
113,221993702,221993694,-80.40273470011827,37.183413244804846
114,979698924,171534502,-80.37706035076495,37.28194773880389
115,914990887,335461714,-80.35596,37.09163
116,916282551,171535100,-80.3656707972844,37.32445464898425
117,918469861,916269111,-80.29979981720298,37.08939093655197
118,171517769,171517785,-80.41408709352685,37.127390108418155
119,171524498,171524436,-80.32785353350246,37.074272465454605
120,24884783,275213877,-80.31421219653481,37.271884575598925
121,24865551,24864266,-80.48251667366866,37.08813603533287
122,171522435,171515571,-80.5254435365299,37.25148093202056
123,24866873,275506167,-80.43066886012552,37.21364010615643
124,171523031,171522983,-80.41306372122081,37.257779285749706
125,24866094,196301652,-80.46720194670483,37.215589031763024
126,1135213064,171522919,-80.46031381699098,37.28675469329917
127,24866450,24866454,-80.42433531177268,37.16359401847249
128,24869949,275173985,-80.43831532532936,37.27764517945744
129,171519215,171519235,-80.44077564281122,37.19777460348884
130,171514422,275976716,-80.49360039790443,37.169915307521805
131,171516760,171516758,-80.43891764799494,37.12580092419144
132,171514060,171514159,-80.4710935192929,37.128205589053046
133,171529663,916277037,-80.28107646967757,37.24115783910859
134,243541934,275984008,-80.54747729705788,37.16845112852823
135,915018388,171526481,-80.38278533649694,37.16809210320678
136,338872349,171512441,-80.45050170700874,37.08776012060401
137,335455178,335455179,-80.41541702569522,37.16808633138376
