County,State,Estimated_Usage_2016,County_State
Autauga County,Alabama,473.98,Autauga County_Alabama
Baldwin County,Alabama,1782.18,Baldwin County_Alabama
Barbour County,Alabama,221.53,Barbour County_Alabama
Bibb County,Alabama,193.7,Bibb County_Alabama
Blount County,Alabama,493.5,Blount County_Alabama
Bullock County,Alabama,89.07,Bullock County_Alabama
Butler County,Alabama,171.85,Butler County_Alabama
Calhoun County,Alabama,986.86,Calhoun County_Alabama
Chambers County,Alabama,289.76,Chambers County_Alabama
Cherokee County,Alabama,221.16,Cherokee County_Alabama
Chilton County,Alabama,376.63,Chilton County_Alabama
Choctaw County,Alabama,111.96,Choctaw County_Alabama
Clarke County,Alabama,208.92,Clarke County_Alabama
Clay County,Alabama,114.91,Clay County_Alabama
Cleburne County,Alabama,127.44,Cleburne County_Alabama
Coffee County,Alabama,438.83,Coffee County_Alabama
Colbert County,Alabama,466.47,Colbert County_Alabama
Conecuh County,Alabama,107.26,Conecuh County_Alabama
Coosa County,Alabama,92.89,Coosa County_Alabama
Covington County,Alabama,320.74,Covington County_Alabama
Crenshaw County,Alabama,119.45,Crenshaw County_Alabama
Cullman County,Alabama,707.48,Cullman County_Alabama
Dale County,Alabama,423.01,Dale County_Alabama
Dallas County,Alabama,343.99,Dallas County_Alabama
DeKalb County,Alabama,610.05,DeKalb County_Alabama
Elmore County,Alabama,697.24,Elmore County_Alabama
Escambia County,Alabama,321.65,Escambia County_Alabama
Etowah County,Alabama,882.45,Etowah County_Alabama
Fayette County,Alabama,142.04,Fayette County_Alabama
Franklin County,Alabama,271.59,Franklin County_Alabama
Geneva County,Alabama,227.35,Geneva County_Alabama
Greene County,Alabama,72.78,Greene County_Alabama
Hale County,Alabama,127.29,Hale County_Alabama
Henry County,Alabama,146.57,Henry County_Alabama
Houston County,Alabama,894.38,Houston County_Alabama
Jackson County,Alabama,446.57,Jackson County_Alabama
Jefferson County,Alabama,5665.63,Jefferson County_Alabama
Lamar County,Alabama,119.49,Lamar County_Alabama
Lauderdale County,Alabama,793.29,Lauderdale County_Alabama
Lawrence County,Alabama,285.14,Lawrence County_Alabama
Lee County,Alabama,1366.78,Lee County_Alabama
Limestone County,Alabama,796.58,Limestone County_Alabama
Lowndes County,Alabama,87.97,Lowndes County_Alabama
Macon County,Alabama,163.57,Macon County_Alabama
Madison County,Alabama,3061.54,Madison County_Alabama
Marengo County,Alabama,167.45,Marengo County_Alabama
Marion County,Alabama,257.09,Marion County_Alabama
Marshall County,Alabama,816.16,Marshall County_Alabama
Mobile County,Alabama,3565,Mobile County_Alabama
Monroe County,Alabama,184.86,Monroe County_Alabama
Montgomery County,Alabama,1948.29,Montgomery County_Alabama
Morgan County,Alabama,1020.77,Morgan County_Alabama
Perry County,Alabama,81.75,Perry County_Alabama
Pickens County,Alabama,174.25,Pickens County_Alabama
Pike County,Alabama,287.61,Pike County_Alabama
Randolph County,Alabama,193.12,Randolph County_Alabama
Russell County,Alabama,499.43,Russell County_Alabama
