Plant_ID,Total_MW,PrimSource
1,53,hydroelectric
2,2335.7,natural gas
3,224.1,hydroelectric
4,130,natural gas
5,1062.7,coal
6,62,natural gas
7,1272.1,natural gas
8,71.1,hydroelectric
9,48,hydroelectric
10,129.2,hydroelectric
11,129,hydroelectric
12,180,hydroelectric
13,182,hydroelectric
14,162.9,hydroelectric
15,178,hydroelectric
16,80,hydroelectric
17,81,hydroelectric
18,44,hydroelectric
19,1877,natural gas
20,10.3,natural gas
21,12.1,hydroelectric
22,90,hydroelectric
23,3309.4,nuclear
24,363.2,natural gas
25,122.7,hydroelectric
26,398.2,hydroelectric
27,642.1,coal
28,2.8,hydroelectric
29,784,natural gas
30,5.4,hydroelectric
31,556,coal
32,100,coal
33,309,coal
42,10.1,hydroelectric
49,247,coal
57,134,natural gas
58,1.4,hydroelectric
59,199.8,pumped storage
60,358.8,coal
62,767,coal
64,320,natural gas
65,932,natural gas
66,176,natural gas
67,328,natural gas
68,75,natural gas
69,470,natural gas
70,650,coal
71,2350,coal
72,1309,coal
73,626.2,natural gas
74,3,hydroelectric
75,149,pumped storage
76,525,natural gas
77,68.8,pumped storage
78,36,hydroelectric
79,13,hydroelectric
80,112,natural gas
81,254.8,hydroelectric
82,1312,hydroelectric
83,1039.4,hydroelectric
84,1,hydroelectric
85,548.5,coal
86,3.3,hydroelectric
87,1,hydroelectric
88,1449.5,natural gas
89,59.7,hydroelectric
90,528,natural gas
91,4.8,petroleum
92,11.5,hydroelectric
94,128.8,hydroelectric
95,68,hydroelectric
96,90,hydroelectric
97,7.2,petroleum
98,29.1,hydroelectric
99,80,hydroelectric
100,75,hydroelectric
101,370,hydroelectric
102,140,hydroelectric
103,162,natural gas
104,122,natural gas
105,134,natural gas
106,1060,nuclear
107,1225,nuclear
108,1,hydroelectric
109,0.7,hydroelectric
110,34,hydroelectric
111,105,hydroelectric
112,125,hydroelectric
113,65,hydroelectric
115,75,hydroelectric
116,120,hydroelectric
117,6.4,hydroelectric
118,7,hydroelectric
121,70,hydroelectric
122,18.5,hydroelectric
123,5.7,hydroelectric
124,54,hydroelectric
125,49.5,hydroelectric
126,22,hydroelectric
127,20.6,hydroelectric
128,98,hydroelectric
129,144,hydroelectric
130,11,hydroelectric
