County,State,pop_2016,pop_2017,pop_2018
Autauga County,Alabama,55242,55443,55601
Baldwin County,Alabama,207712,212619,218022
Barbour County,Alabama,25819,25158,24881
Bibb County,Alabama,22576,22555,22400
Blount County,Alabama,57517,57827,57840
Bullock County,Alabama,10381,10176,10138
Butler County,Alabama,20029,19898,19680
Calhoun County,Alabama,115018,114664,114277
Chambers County,Alabama,33771,33758,33615
Cherokee County,Alabama,25776,25815,26032
Chilton County,Alabama,43896,44117,44153
Choctaw County,Alabama,13049,12935,12841
Clarke County,Alabama,24349,24097,23920
Clay County,Alabama,13393,13367,13275
Cleburne County,Alabama,14853,14906,14987
Coffee County,Alabama,51145,51777,51909
Colbert County,Alabama,54367,54509,54762
Conecuh County,Alabama,12501,12435,12277
Coosa County,Alabama,10826,10757,10715
Covington County,Alabama,37382,37078,36986
Crenshaw County,Alabama,13922,13861,13824
Cullman County,Alabama,82456,82836,83442
Dale County,Alabama,49301,49254,48956
Dallas County,Alabama,40092,39235,38310
DeKalb County,Alabama,71101,71404,71385
Elmore County,Alabama,81263,81416,81887
Escambia County,Alabama,37488,36999,36748
Etowah County,Alabama,102849,102937,102501
Fayette County,Alabama,16555,16474,16433
Franklin County,Alabama,31654,31590,31363
Geneva County,Alabama,26498,26410,26314
Greene County,Alabama,8483,8318,8233
Hale County,Alabama,14835,14809,14726
Henry County,Alabama,17083,17140,17209
Houston County,Alabama,104239,104373,104722
Jackson County,Alabama,52048,51907,51736
Jefferson County,Alabama,660326,659546,659300
Lamar County,Alabama,13927,13902,13844
Lauderdale County,Alabama,92457,92591,92387
Lawrence County,Alabama,33233,33077,32957
Lee County,Alabama,159297,161641,163941
Limestone County,Alabama,92841,94076,96174
Lowndes County,Alabama,10253,10104,9974
Macon County,Alabama,19064,18811,18439
Madison County,Alabama,356821,361665,366519
Marengo County,Alabama,19516,19366,19066
Marion County,Alabama,29964,29771,29763
Marshall County,Alabama,95123,95609,96109
Mobile County,Alabama,415499,414515,413757
Monroe County,Alabama,21545,21302,21067
Montgomery County,Alabama,227072,227079,225763
Morgan County,Alabama,118970,118811,119089
Perry County,Alabama,9528,9319,9140
Pickens County,Alabama,20309,20182,19938
Pike County,Alabama,33521,33435,33338
Randolph County,Alabama,22508,22683,22725
Russell County,Alabama,58208,57028,57781
St. Clair County,Alabama,87323,87976,88690
Shelby County,Alabama,211430,213729,215707
Sumter County,Alabama,12974,12780,12691
Talladega County,Alabama,80468,80022,79828
Tallapoosa County,Alabama,40570,40613,40497
Tuscaloosa County,Alabama,206614,207709,208911
Walker County,Alabama,64548,63935,63711
Washington County,Alabama,16610,16532,16378
Wilcox County,Alabama,10851,10712,10627
Winston County,Alabama,23906,23745,23660
Aleutians East Borough,Alaska,3388,3495,3515
Aleutians West Census Area,Alaska,5698,5726,5723
Anchorage Municipality,Alaska,297216,294264,291538
Bethel Census Area,Alaska,18019,18079,18216
Bristol Bay Borough,Alaska,903,870,877
Denali Borough,Alaska,2039,2066,2059
Dillingham Census Area,Alaska,4970,4935,5000
Fairbanks North Star Borough,Alaska,100683,99725,98971
Haines Borough,Alaska,2527,2518,2474
Hoonah-Angoon Census Area,Alaska,2128,2139,2151
Juneau City and Borough,Alaska,32400,32061,32113
Kenai Peninsula Borough,Alaska,58452,58522,58533
Ketchikan Gateway Borough,Alaska,13714,13882,13918
Kodiak Island Borough,Alaska,13710,13519,13345
Kusilvak Census Area,Alaska,8174,8230,8303
Lake and Peninsula Borough,Alaska,1598,1607,1587
Matanuska-Susitna Borough,Alaska,104157,106383,107610
Nome Census Area,Alaska,9961,9968,10008
North Slope Borough,Alaska,9718,9831,9872
Northwest Arctic Borough,Alaska,7689,7767,7671
Petersburg Borough,Alaska,3270,3259,3221
Prince of Wales-Hyder Census Area,Alaska,6516,6469,6422
Sitka City and Borough,Alaska,8738,8686,8647
Skagway Municipality,Alaska,1132,1162,1148
Southeast Fairbanks Census Area,Alaska,6849,6885,6918
Valdez-Cordova Census Area,Alaska,9318,9224,9164
Wrangell City and Borough,Alaska,2501,2511,2503
Yakutat City and Borough,Alaska,613,607,604
