TID,long,lat,load
51121100000,-80.36663,37.1136,1896.1656
51121100001,-80.36493266666666,37.11357266666666,346.33279999999996
51121100002,-80.36323533333334,37.113545333333334,6055.0632000000005
51121100003,-80.361538,37.113518,7406.0124000000005
51121100004,-80.35984066666667,37.113490666666664,4863.928000000001
51121100005,-80.35644599999999,37.113436,2774.2599999999998
51121100006,-80.35474866666667,37.113408666666665,4417.189200000001
51121100007,-80.35305133333333,37.113381333333336,2807.4332
51121100008,-80.351354,37.113354,3049.0328
51121100009,-80.34795933333332,37.11329933333334,2303.0132
51121100010,-80.34456466666666,37.11324466666667,4275.7176
51121100011,-80.34286733333333,37.11321733333334,1887.6784000000002
51121100012,-80.4236687788511,37.27563275970658,2007.7352
51121100013,-80.42310755770218,37.27567551941317,5396.3820000000005
51121100014,-80.42198511540435,37.27576103882634,647.7475999999999
51121100015,-80.42142389425544,37.27580379853292,2556.8516
51121100016,-80.32789799999999,37.10821533333333,14502.3316
51121100017,-80.33263799999999,37.109992,13205.65
51121100018,-80.333586,37.11034733333333,3098.3324000000002
51121100019,-80.33453399999999,37.11070266666667,3124.1203999999993
51121100020,-80.335482,37.111058,3623.7244
51121100021,-80.33643,37.11141333333333,3557.3492
51121100022,-80.33737799999999,37.11176866666667,5046.2116
51121100023,-80.33927399999999,37.11247933333333,1815.752
51121100024,-80.340222,37.11283466666667,3969.8275999999996
51121100025,-80.403168662223,37.29182940169796,4208.2896
51121100026,-80.281196,37.295704,1636.9732
51121100027,-80.27905333333334,37.29712,5962.0188
51121100028,-80.277982,37.297828,4867.742
51121100029,-80.27583933333334,37.299244,3695.8747999999996
51121100030,-80.27262533333334,37.301368000000004,1942.6947999999995
51121100031,-80.27155400000001,37.302076,449.7184
51121100032,-80.26941133333334,37.303492,2846.9168
51121100033,-80.39341999999999,37.19487,1305.156
51121100034,-80.39230553327033,37.19500044648744,1108.3968
51121100035,-80.39063383317585,37.195196116218604,506.2160000000001
51121100036,-80.39007659981102,37.19526133946232,2031.1564
51121100037,-80.46228848781227,37.28895439320992,994.9132
51121100038,-80.42423000000001,37.27559,894.7968000000002
51121100039,-80.42531598452909,37.27534767287367,5943.352000000001
51121100040,-80.42640196905818,37.27510534574735,266.9432
51121100041,-80.3913393454198,37.19966931668607,4817.574
51121100042,-80.39188869083961,37.19976863337214,1418.5648000000003
51121100043,-80.39361788113997,37.19529179927205,1017.1604
51121100044,-80.39381576227994,37.195713598544096,341.55080000000004
51121100045,-80.39401364341992,37.19613539781614,3022.2896
51121100046,-80.40342,37.19632,902.8692000000001
51121100047,-80.40356798136006,37.196754695245176,1631.1584000000005
51121100048,-80.40386394408017,37.197624085735534,422.23799999999994
51121100049,-80.42088733166563,37.27583291921719,3861.4176
51121100050,-80.42723000000001,37.277359999999994,3256.2191999999995
51121100051,-80.42667309218972,37.27728988570733,2364.978
51121100052,-80.42611618437944,37.27721977141467,3095.8904
51121100053,-80.42555927656915,37.27714965712201,1863.3496
51121100054,-80.42500236875885,37.27707954282935,6023.1504
51121100055,-80.46051999999999,37.28665,3071.4628000000002
51121100056,-80.45944733333333,37.28719466666667,2395.3516
51121100057,-80.450866,37.291552,1083.8408000000004
51121100058,-80.44550266666667,37.29427533333333,357.0484
51121100059,-80.42828711602947,37.275247484186146,693.8116
51121100060,-80.40086340454526,37.19739771292273,4630.470799999999
51121100061,-80.39993021363578,37.19689313876819,2927.5884000000005
51121100062,-80.39946361818104,37.196640851690915,3225.2236
51121100063,-80.3989970227263,37.19638856461365,3107.1663999999996
51121100064,-80.39806383181684,37.1958839904591,4623.5496
51121100065,-80.42989466666667,37.2757,720.3772
51121100066,-80.43158866666667,37.27603,2348.438
51121100067,-80.43215333333333,37.27614,2029.6535999999999
51121100068,-80.43271800000001,37.27625,2942.9616
51121100069,-80.43667066666666,37.27702,4117.9
51121100070,-80.43723533333333,37.27713,1636.9932000000003
51121100071,-80.40423,37.19744,1395.2
51121100072,-80.40534644745918,37.197320685004364,1057.4012000000002
51121100073,-80.39289398366908,37.1145155514873,1376.8308
51121100074,-80.39235097550362,37.11463332723095,298.74640000000005
51121100075,-80.39180796733817,37.1147511029746,863.7764
51121100076,-80.39072195100725,37.114986654461894,1025.5744000000002
51121100077,-80.38218064813658,37.11225298143696,1851.2696000000003
51121100078,-80.38163129627316,37.11215596287393,2550.4864000000007
51121100079,-80.38108194440973,37.11205894431089,2266.0519999999997
51121100080,-80.37943388881943,37.11176788862178,3743.8412
51121100081,-80.37888453695601,37.111670870058745,2301.3632000000007
51121100082,-80.40342,37.19632,915.7783999999999
51121100083,-80.37578173707197,37.11644303426934,725.9164
51121100084,-80.44132812690225,37.28001402344222,611.7288
51121100085,-80.44052438070673,37.27938207032667,2927.5892000000003
51121100086,-80.43972063451123,37.27875011721112,3648.4012000000002
51121100087,-80.43931876141347,37.27843414065334,2433.8588
51121100088,-80.43891688831572,37.27811816409556,1120.6492
51121100089,-80.4381131421202,37.27748621098001,5229.0172
51121100090,-80.41727,37.24924,3582.2511999999997
51121100091,-80.36674113658438,37.194841816149584,1984.8591999999999
51121100092,-80.36730227316875,37.19480363229916,259.09240000000005
51121100093,-80.36786340975313,37.19476544844875,866.5859999999998
51121100094,-80.36842454633751,37.194727264598335,5215.3024000000005
51121100095,-80.36898568292189,37.19468908074792,2833.0851999999995
51121100096,-80.36954681950625,37.1946508968975,1185.33
51121100097,-80.37010795609064,37.194612713047086,743.8144
51121100098,-80.37066909267502,37.19457452919667,1777.1495999999997
51121100099,-80.37179136584376,37.19449816149584,2415.6996
51121100100,-80.37291363901252,37.19442179379501,723.9644000000001
51121100101,-80.42218711200391,37.24650574639047,2825.174
51121100102,-80.42240422400782,37.24692149278093,5165.9156
51121100103,-80.42262133601173,37.247337239171394,2027.9148
51121100104,-80.42283844801564,37.24775298556186,1973.3475999999998
51121100105,-80.37408783110965,37.11337682300919,305.03000000000003
51121100106,-80.3735256622193,37.11339364601837,1551.0336
51121100107,-80.37296349332894,37.11341046902756,923.946
51121100108,-80.37183915554823,37.11344411504594,494.7664000000001
51121100109,-80.37127698665788,37.11346093805513,2321.2032000000004
51121100110,-80.36959047998681,37.11351140708269,704.5332000000001
51121100111,-80.36902831109646,37.11352823009187,371.6344
51121100112,-80.36790397331575,37.11356187611025,391.2560000000001
51121100113,-80.3673418044254,37.11357869911944,303.3004
