Object_ID,Longitude,Latitude
1,-87.356823,33.458665
2,-88.0103,31.0069
3,-86.283056,32.583889
4,-85.9708,34.0128
5,-87.196486,33.644344
6,-106.375,31.7569
7,-87.7811,32.6017
8,-86.0524,33.7845
9,-87.4495,33.2553
10,-86.2548,32.6189
11,-86.337547,33.425878
12,-86.5187,32.9633
13,-85.911442,32.680394
14,-86.444892,32.806025
15,-87.1077,33.9406
16,-85.887614,32.535436
17,-85.753806,34.172142
18,-85.8901,32.5743
19,-86.458056,33.244211
20,-94.4178,44.0501
21,-120.953341,39.134259
22,-87.399767,32.100881
23,-87.1189,34.7042
24,-87.8486,34.7439
25,-86.393931,34.421272
26,-87.3819,34.8069
27,-93.569167,32.030556
28,-86.479469,31.4033
29,-84.1017,37.8833
30,-86.518307,31.361146
31,-87.910747,31.488019
32,-98.348222,40.854765
33,-98.312437,40.580872
42,-118.4168,34.01135
49,-108.082,35.4159
57,-122.365,47.079722
58,-111.781064,33.466477
59,-119.2567,37.147926
60,-100.9725,37.9308
62,-110.3033,34.9394
64,-111.9122,33.4225
65,-112.1583,33.4417
66,-111.3,32.5517
67,-114.7106,32.7214
68,-110.992148,32.252273
69,-110.9047,32.16
70,-99.1753,34.0825
71,-80.113235,33.371506
72,-81.632778,29.733056
73,-112.2153,33.5561
74,-111.946052,33.439375
75,-111.344,33.5907
76,-111.9353,33.3556
77,-111.4431,33.5536
78,-111.161786,33.671104
79,-111.536,33.5661
80,-120.93139,37.62936
81,-114.570669,35.197044
82,-111.483872,36.936614
83,-114.738006,36.01551
84,-111.312506,40.493631
85,-109.8931,32.0603
86,-120.594678,37.611461
87,-120.746247,37.621536
88,-95.2894,36.190278
89,-93.0262,34.4425
90,-92.9049,34.4341
91,-89.994,35.6893
92,-92.8941,34.4272
94,-93.847373,36.421507
95,-93.110963,34.211913
96,-91.9953,35.5207
97,-90.1867,36.3858
98,-93.715168,34.148427
99,-92.2401,36.2491
100,-93.194425,34.570984
101,-92.5763,36.3635
102,-93.1686,35.2503
103,-93.804926,35.462382
104,-91.363426,35.260102
105,-92.7917,33.5648
106,-88.8339,40.1719
107,-95.68978,38.23926
108,-120.80355,39.215979
109,-120.539444,38.071944
110,-119.087712,36.909137
111,-119.087556,36.908907
112,-121.249438,40.007445
113,-121.327692,39.91062
115,-121.148241,40.085476
116,-121.149373,40.085997
117,-121.657383,39.788877
118,-120.813239,38.771764
121,-121.409687,39.825907
122,-121.631819,39.869265
123,-120.8443,39.29807
124,-120.767437,39.256873
125,-120.767046,39.257388
126,-120.835587,39.216985
127,-120.619152,38.793574
128,-120.669901,38.330985
129,-119.02025,36.927424
130,-121.041932,38.956985
132,-121.544462,40.929297
133,-121.548657,40.960675
134,-124.2103,40.7415
136,-121.975182,40.992295
137,-119.552826,37.092486
139,-119.158777,36.888166
140,-121.57096,39.698755
141,-120.329905,37.52301
142,-121.782241,36.804837
143,-120.446396,38.147093
144,-121.271741,39.2364
145,-120.326537,38.032103
146,-121.498243,40.99084
