HID,County,Latitude,Longitude,EnergyKWH
51121020900347,121,37.1122410417462,-80.3630522287177,18.258950000000002
511210203001806,121,37.2757040563672,-80.4228931560515,18.32237
511210203001805,121,37.27551336556,-80.4231217144648,9.42525
51121020900330,121,37.1142737467047,-80.3318514576239,13.64007
511210203001807,121,37.2756005727208,-80.4237450520784,25.12468
51121020900346,121,37.1162108962603,-80.3607349863387,19.94136
51121021300403,121,37.2915357413476,-80.4025161573478,11.582049999999999
51121021300402,121,37.2959250849515,-80.282182475217,20.412419999999997
51121020900345,121,37.1134306579937,-80.3627976315004,16.20425
51121020900340,121,37.1150041493854,-80.3617146311167,21.944830000000003
511210207001187,121,37.1958855735866,-80.3906827437729,16.8677
51121020900336,121,37.1137868710566,-80.331744178546,12.75633
51121020900344,121,37.1160815009153,-80.3602189555144,16.6442
51121021300401,121,37.2885811067243,-80.4630897240092,18.81355
511210203001803,121,37.2759472193548,-80.4216580321093,19.592519999999997
51121020900341,121,37.1136655042114,-80.3628198222779,18.26869
51121020900349,121,37.1150858535844,-80.3611264704458,32.29659
511210203001809,121,37.2754678690975,-80.4250925459695,18.47868
511210207001189,121,37.1995202231598,-80.3921920302253,30.5834
511210207001188,121,37.1974868586693,-80.3922492757966,26.44245
511210203001804,121,37.2754124965224,-80.4220751043306,10.28157
511210207001186,121,37.1994375750741,-80.3921625671098,18.56328
511210207001185,121,37.1989852526532,-80.391796933519,17.158530000000003
511210207001169,121,37.1964096271749,-80.4034451429424,29.50439
51121020900348,121,37.1145442791604,-80.3616544895733,30.70004
51121020900342,121,37.1124676162882,-80.3641171438159,12.25049
511210207001184,121,37.1981771245847,-80.3919500581342,19.04667
511210203001802,121,37.2758522066622,-80.4210070172387,17.90688
51121020900343,121,37.1156909650939,-80.3608280940325,14.20065
51121020900331,121,37.1169384526381,-80.3351715054381,13.190310000000002
511210203001819,121,37.2773653108551,-80.4246876371947,31.179239999999997
511210207001183,121,37.1983787873026,-80.3917808715416,17.84525
51121020900332,121,37.1154324491013,-80.3329428096171,14.60716
511210207001181,121,37.1974010553357,-80.3922171732503,17.02594
511210203001808,121,37.275659190348,-80.4237365080988,16.55786
511210207001182,121,37.1970589754532,-80.3920024831923,17.460189999999997
511210207001180,121,37.1983532093118,-80.3918501515416,20.50179
511210203001800,121,37.2772863553159,-80.4270950028181,58.91621
511210203001801,121,37.2754553984725,-80.4208262045596,25.83429
51121021300400,121,37.2868152948342,-80.460257951067,13.09627
51121020900339,121,37.1148742457783,-80.3616115290594,9.33016
511210203001812,121,37.2751321031468,-80.4283149412961,10.39742
511210207001174,121,37.1975162126719,-80.4007513721849,18.610559999999996
51121020900338,121,37.1126798698468,-80.3629433611299,12.474260000000003
511210203001811,121,37.2755373335933,-80.4264282299367,11.927520000000001
511210203001814,121,37.2754388942521,-80.4311351151162,11.88525
